pp,address,lat,lon
Alice Springs,"93 Todd St, Alice Springs",-23.701922,133.882407
Anula,"Yanyula Dr, Anula",-12.3909864,130.8890969
Bakewell,"5 Hutchison Tce, Bakewell",-12.49362,130.99373
Bees Creek,"20 Sattler Cres, Bees Creek",-12.540972,131.052803
Berrimah,"Kormilda College, Berrimah Rd, Berrimah",-12.4430359,130.9229689
Berry Springs,"1150 Cox Peninsula Rd, Berry Springs",-12.714817,130.987498
Braitling,"80 Head St, ALICE SPRINGS",-23.6780819,133.8669155
Darwin City,"Darwin Entertainment Centre, 93 Mitchell St, Darwin City",-12.460752,130.836445
Driver,"Driver Primary School, Driver Av, Driver, NT",-12.485717,130.9754079
Durack,"50 Woodlake Blvd, Durack",-12.47586,130.97409
Gillen,"55 Milner Rd, ALICE SPRINGS, Gillen",-23.7081042,133.8690415
Girraween,"25 Carruth Rd, Girraween",-12.522893,131.1026
Gray,"22 Victoria Dr, Gray",-12.489614,130.980158
Howard Springs,"325 Whitewood Rd, Howard Springs",-12.495213,131.047227
Humpty Doo,"Taminmin College, Challoner Crct, Humpty Doo",-12.581525,131.101834
Jabiru,"13 Tasman Cres, Jabiru",-12.672191,132.832779
Johnston,"285 Farrar Blvd, Johnston",-12.4978769,131.0091586
Karama,"70 Mueller Rd, Karama",-12.393087,130.911553
Katherine,"Civic Centre, Stuart Hwy, Katherine",-14.4597656,132.2571876
Katherine East,"MacFarlane Pre-School, Grevillea Rd, Katherine East",-14.4665728,132.282927
Larapinta,"Living Waters Lutheran School, Albrecht Dr, Larapinta",-23.6977765,133.8323848
Larrakeyah,"3 Packard St,, Larrakeyah",-12.457346,130.829527
Leanyer,"114 Leanyer Dr,, Leanyer",-12.374435,130.899961
Ludmilla,"41 Bagot Rd,, Ludmilla",-12.424501,130.855153
Manunda Terrace,"31 Manunda Tce, Manunda Terrace",-12.403391,130.9192349
Millner,"41 Sabine Rd, Millner",-12.391484,130.859479
Moil,"Moil Cres, Moil",-12.3872276,130.879408
Moulden Park,"103 Bonson Tce, Moulden Park",-12.507048,130.971063
Nakara,"Goodman St, Nakara",-12.3720509,130.877867
Nightcliff,"90 Aralia St, Nightcliff",-12.37761,130.853057
Parap,"Parap Primary School, Urquhart St, Parap",-12.4305238,130.8447561
Rosebery,"Rosebery Middle School, cnr Belyuen Rd & Forrest Pde, Rosebery",-12.5096929,130.9934177
Sadadeen,"Centralian Senior College, Grevillea Dr, Sadadeen",-23.6977569,133.8952663
Stuart Park,"cnr Nudl & Ashley Sts, Stuart Park",-12.4420368,130.8445103
Tindal,"Tindal, NT",-14.4880292,132.3624025
Tiwi,"Delamere St, Tiwi",-12.366536,130.8813871
Wagaman,"35 Wagaman Tce, Wagaman",-12.3800006,130.8845725
Wanguri,"Wanguri Tce, Wanguri",-12.3704172,130.8884175
Woodroffe,"Sacred Heart Primary School, 34 Emery Ave, Woodroffe",-12.4959507,130.9791929
Yirara,"Stuart Hwy, ALICE SPRINGS",-23.6993675,133.8774972
